#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
203465	26574	4137	117743	110308	HSPC277	-	AATF	MAPT	BFR2|CHE-1|CHE1|DED	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	FRET	physical	Barbato C (2003)	PUBMED:14697667	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NY61	-	NP_036270	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303403	4137	348	110308	106845	-	-	MAPT	APOE	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	AD2|APO-E|LDLCQ5|LPG	Reconstituted Complex	physical	Fleming LM (1996)	PUBMED:8620924	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P02649	-	NP_000032|NP_001289618|NP_001289619|NP_001289617|NP_001289620	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315879	6285	4137	112193	110308	-	-	S100B	MAPT	NEF|S100|S100-B|S100beta	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Reconstituted Complex	physical	Baudier J (1988)	PUBMED:2833519	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04271	-	NP_006263	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315880	4137	7534	110308	113366	-	-	MAPT	YWHAZ	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	Affinity Capture-Western	physical	Hashiguchi M (2000)	PUBMED:10840038	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P63104	D0PNI1	NP_003397|NP_001129174|NP_001129171|NP_001129172|NP_001129173|NP_663723	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315881	7534	4137	113366	110308	-	-	YWHAZ	MAPT	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Reconstituted Complex	physical	Hashiguchi M (2000)	PUBMED:10840038	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63104	D0PNI1	NP_003397|NP_001129174|NP_001129171|NP_001129172|NP_001129173|NP_663723	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315882	4137	7529	110308	113361	-	RP1-148E22.1	MAPT	YWHAB	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	Affinity Capture-Western	physical	Hashiguchi M (2000)	PUBMED:10840038	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P31946	V9HWD6	NP_647539|NP_003395	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330187	4137	10273	110308	115563	-	LA16c-313D11.6	MAPT	STUB1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Dickey CA (2008)	PUBMED:18292230	9606	9606	Low Throughput	-	-	not confirmed human	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330465	4137	5071	110308	111105	-	KB-152G3.1	MAPT	PARK2	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Moore DJ (2008)	PUBMED:18248624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331129	4137	3312	110308	109544	-	-	MAPT	HSPA8	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Elliott E (2007)	PUBMED:17954934	9606	9606	Low Throughput	-	-	not confirmed human	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P11142	V9HW22|Q53HF2	NP_694881|NP_006588	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331130	4137	573	110308	107049	-	RP11-326F20.2	MAPT	BAG1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	BAG-1|HAP|RAP46	Affinity Capture-Western	physical	Elliott E (2007)	PUBMED:17954934	9606	9606	Low Throughput	-	-	not confirmed human	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q99933	-	NP_001336215|NP_004314|NP_001336228|NP_001165886	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331134	573	4137	107049	110308	RP11-326F20.2	-	BAG1	MAPT	BAG-1|HAP|RAP46	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Reconstituted Complex	physical	Elliott E (2007)	PUBMED:17954934	9606	9606	Low Throughput	-	-	not confirmed human	-	BIOGRID	Q99933	-	NP_001336215|NP_004314|NP_001336228|NP_001165886	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
331135	573	4137	107049	110308	RP11-326F20.2	-	BAG1	MAPT	BAG-1|HAP|RAP46	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Elliott E (2007)	PUBMED:17954934	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99933	-	NP_001336215|NP_004314|NP_001336228|NP_001165886	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
459016	7529	4137	113361	110308	RP1-148E22.1	-	YWHAB	MAPT	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Nellist M (2002)	PUBMED:12176984	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P31946	V9HWD6	NP_647539|NP_003395	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
477810	10273	4137	115563	110308	LA16c-313D11.6	-	STUB1	MAPT	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Hatakeyama S (2004)	PUBMED:15447663	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
477811	4137	10273	110308	115563	-	LA16c-313D11.6	MAPT	STUB1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Hatakeyama S (2004)	PUBMED:15447663	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
477812	10273	4137	115563	110308	LA16c-313D11.6	-	STUB1	MAPT	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Hatakeyama S (2004)	PUBMED:15447663	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479362	10013	4137	115330	110308	JM21	-	HDAC6	MAPT	CPBHM|HD6|PPP1R90	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Reconstituted Complex	physical	Ding H (2008)	PUBMED:18636984	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UBN7	A0A024QZ26	NP_001308160|NP_006035|NP_001308159|NP_001308158|NP_001308155|NP_001308154|NP_001308157|NP_001308156	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479363	10013	4137	115330	110308	JM21	-	HDAC6	MAPT	CPBHM|HD6|PPP1R90	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Ding H (2008)	PUBMED:18636984	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UBN7	A0A024QZ26	NP_001308160|NP_006035|NP_001308159|NP_001308158|NP_001308155|NP_001308154|NP_001308157|NP_001308156	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480467	8473	4137	114049	110308	-	-	OGT	MAPT	HRNT1|O-GLCNAC	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Lazarus BD (2006)	PUBMED:16434389	9606	9606	Low Throughput	-	Glycosylation	-	-	BIOGRID	O15294	-	NP_858058|NP_858059	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483245	4137	5071	110308	111105	-	KB-152G3.1	MAPT	PARK2	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Petrucelli L (2004)	PUBMED:14962978	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	O60260	X5DR79	NP_054643|NP_054642|NP_004553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483246	4137	3308	110308	109540	-	-	MAPT	HSPA4	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	physical	Petrucelli L (2004)	PUBMED:14962978	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	P34932	-	NP_002145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483247	4137	10273	110308	115563	-	LA16c-313D11.6	MAPT	STUB1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Petrucelli L (2004)	PUBMED:14962978	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q9UNE7	-	NP_005852|NP_001280126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
558818	2033	4137	108347	110308	RP1-85F18.1	-	EP300	MAPT	KAT3B|RSTS2|p300	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Min SW (2010)	PUBMED:20869593	9606	9606	Low Throughput	-	Acetylation	-	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
558819	4137	23411	110308	116983	-	RP11-57G10.3	MAPT	SIRT1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	SIR2L1	Reconstituted Complex	physical	Min SW (2010)	PUBMED:20869593	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q96EB6	B0QZ35|E9PC49|A8K128|A0A024QZQ1	NP_036370|NP_001300978|NP_001135970	-	-	-	-	-	-	Homo sapiens	Homo sapiens
558820	4137	23411	110308	116983	-	RP11-57G10.3	MAPT	SIRT1	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	SIR2L1	Affinity Capture-Western	physical	Min SW (2010)	PUBMED:20869593	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	Q96EB6	B0QZ35|E9PC49|A8K128|A0A024QZQ1	NP_036370|NP_001300978|NP_001135970	-	-	-	-	-	-	Homo sapiens	Homo sapiens
