#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
258911	1213	9829	107623	115167	-	-	CLTC	DNAJC6	CHC|CHC17|CLH-17|CLTCL2|Hc	DJC6|PARK19	Reconstituted Complex	physical	Scheele U (2003)	PUBMED:12732633	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00610	A0A087WVQ6	NP_001275582|NP_004850	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641985	9829	160	115167	106669	-	-	DNAJC6	AP2A1	DJC6|PARK19	ADTAA|AP2-ALPHA|CLAPA1	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O95782	-	NP_570603|NP_055018	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641987	9829	163	115167	106672	-	-	DNAJC6	AP2B1	DJC6|PARK19	ADTB2|AP105B|AP2-BETA|CLAPB1	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P63010	Q96EL6	NP_001273|NP_001025177	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641990	9829	1173	115167	107587	-	-	DNAJC6	AP2M1	DJC6|PARK19	AP50|CLAPM1|mu2	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q96CW1	-	NP_001020376|NP_001298127|NP_004059	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642253	9829	1738	115167	108082	-	tcag7.39	DNAJC6	DLD	DJC6|PARK19	DLDD|DLDH|E3|GCSL|LAD|PHE3	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P09622	E9PEX6|A0A024R713	NP_001276679|NP_001276681|NP_000099|NP_001276680	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642277	64759	9829	122272	115167	-	-	TNS3	DNAJC6	TEM6|TENS1	DJC6|PARK19	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q68CZ2	-	NP_073585	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642609	9829	23028	115167	116667	-	RP1-184J9.1	DNAJC6	KDM1A	DJC6|PARK19	AOF2|BHC110|KDM1|LSD1	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O60341	-	NP_055828|NP_001350583|NP_001009999	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642666	9829	10128	115167	115432	-	-	DNAJC6	LRPPRC	DJC6|PARK19	CLONE-23970|GP130|LRP130|LSFC	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P42704	E5KNY5	NP_573566	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642695	9829	8216	115167	113852	-	-	DNAJC6	LZTR1	DJC6|PARK19	BTBD29|LZTR-1|SWNTS2	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q8N653	-	NP_006758	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642703	9829	5594	115167	111580	-	-	DNAJC6	MAPK1	DJC6|PARK19	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P28482	Q1HBJ4|Q499G7	NP_002736|NP_620407	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642921	9829	5828	115167	111786	-	-	DNAJC6	PEX2	DJC6|PARK19	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P28328	-	NP_001073336|NP_001165557|NP_000309|NP_001165558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2642993	9829	9512	115167	114889	-	-	DNAJC6	PMPCB	DJC6|PARK19	Beta-MPP|MPP11|MPPB|MPPP52|P-52	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O75439	B3KM34|Q96CP5	NP_004270	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2643032	9829	5518	115167	111510	-	-	DNAJC6	PPP2R1A	DJC6|PARK19	PP2A-Aalpha|PP2AAALPHA|PR65A	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P30153	A8K7B7	NP_001350585|NP_055040	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2643061	9829	55291	115167	120579	-	-	DNAJC6	PPP6R3	DJC6|PARK19	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q5H9R7	A0A024R5F3|H7BXH2	NP_001339300|NP_001339301|NP_001339302|NP_060782|NP_001339304|NP_001339305|NP_001339306|NP_001339307|NP_001339308|NP_001339309|NP_001339303|NP_001339297|NP_001339294|NP_001339295|NP_001339292|NP_001339293|NP_001339290|NP_001339291|NP_001339298|NP_001339299|NP_001339279|NP_001339276|NP_001339277|NP_001157632|NP_001157633|NP_001157636|NP_001157634|NP_001157635|NP_001339281|NP_001339280|NP_001339283|NP_001339282|NP_001339285|NP_001339284|NP_001339287|NP_001339286|NP_001339289|NP_001339288	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2643274	9829	23186	115167	116796	-	-	DNAJC6	RCOR1	DJC6|PARK19	COREST|RCOR	Affinity Capture-MS	physical	Kumar P (2017)	PUBMED:28675297	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9UKL0	J3KN32	NP_055971	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2900103	6772	9829	112649	115167	-	-	STAT1	DNAJC6	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91	DJC6|PARK19	Affinity Capture-MS	physical	Zuo Y (2020)	PUBMED:32123171	9606	9606	High Throughput	-	-	-	-	BIOGRID	P42224	-	NP_001371818|NP_001371820|NP_001371809|NP_001371814|NP_001371815|NP_001371816|NP_001371817|NP_644671|NP_009330|NP_001371812|NP_001371813|NP_001371811|NP_001371810|NP_001371819	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2937708	9829	1211	115167	107621	-	-	DNAJC6	CLTA	DJC6|PARK19	LCA	Affinity Capture-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	105.0	-	High confidence interactions were identified as having an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P09496	-	NP_001070145|NP_001171690|NP_001171691|NP_001824|NP_001171689|NP_001298133|NP_001298132|NP_001298135|NP_001298134|NP_009027	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2937709	9829	1213	115167	107623	-	-	DNAJC6	CLTC	DJC6|PARK19	CHC|CHC17|CLH-17|CLTCL2|Hc	Affinity Capture-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	31.65	-	High confidence interactions were identified as having an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q00610	A0A087WVQ6	NP_001275582|NP_004850	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2937710	9829	54623	115167	120081	-	-	DNAJC6	PAF1	DJC6|PARK19	F23149_1|PD2	Affinity Capture-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	95.0	-	High confidence interactions were identified as having an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q8N7H5	A0A024R0H6	NP_061961|NP_001243755	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2937711	9829	6389	115167	112290	-	-	DNAJC6	SDHA	DJC6|PARK19	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF	Affinity Capture-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	80.0	-	High confidence interactions were identified as having an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P31040	A0A024QZ30|D6RFM5	NP_001317687|NP_004159|NP_001281261	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2937712	9829	64175	115167	122098	-	PSEC0109	DNAJC6	P3H1	DJC6|PARK19	GROS1|LEPRE1|OI8	Affinity Capture-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	70.0	-	High confidence interactions were identified as having an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q32P28	-	NP_001139761|NP_071751|NP_001230175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2939975	9829	23172	115167	116784	-	-	DNAJC6	FAM175B	DJC6|PARK19	ABRO1|KIAA0157	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	95.0	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q15018	-	NP_115558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2939976	9829	25959	115167	117449	-	-	DNAJC6	KANK2	DJC6|PARK19	ANKRD25|MXRA3|PPKWH|SIP	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	3.53	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q63ZY3	-	NP_001366484|NP_001366481|NP_001129663|NP_001366480|NP_001366487|NP_001366486|NP_001366485|NP_001316380|NP_001366490|NP_001366482|NP_001366492|NP_001366479|NP_001366483|NP_001366477|NP_001366488|NP_056308|NP_001366478|NP_001366489|NP_001366491	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2939977	9829	5116	115167	111146	-	-	DNAJC6	PCNT	DJC6|PARK19	KEN|MOPD2|PCN|PCNT2|PCNTB|PCTN2|SCKL4	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	3.41	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O95613	-	NP_001302458|NP_006022	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2939978	9829	55717	115167	120839	-	-	DNAJC6	WDR11	DJC6|PARK19	BRWD2|DR11|HH14|WDR15	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	3.53	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9BZH6	Q659C9	NP_060587	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2939979	9829	9722	115167	115071	-	-	DNAJC6	NOS1AP	DJC6|PARK19	6330408P19Rik|CAPON	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	65.0	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O75052	-	NP_001158229|NP_055512|NP_001119532	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2940990	9829	22994	115167	116641	-	-	DNAJC6	CEP131	DJC6|PARK19	AZ1|AZI1|ZA1	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	21.58	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9UPN4	-	NP_001009811|NP_001306158|NP_001306157|NP_055799	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2940991	9829	64744	115167	122260	-	RP1-228H13.3	DNAJC6	SMAP2	DJC6|PARK19	SMAP1L	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	22.75	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q8WU79	A0A087WV97	NP_001185909|NP_001185908|NP_001185907|NP_073570	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2941142	9829	22919	115167	116581	-	-	DNAJC6	MAPRE1	DJC6|PARK19	EB1	Proximity Label-MS	physical	Piette BL (2021)	PUBMED:33957083	9606	9606	High Throughput	31.5	-	BioID|High confidence proximal protein interactions had an average probability of the identified interaction (AvgP) >= 0.98. The associated score represents the fold change of spectral counts (or intensities) for each individual interaction.	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q15691	-	NP_036457	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3039263	1337	9829	107730	115167	-	-	COX6A1	DNAJC6	CMTRID|COX6A|COX6AL	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999978019	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999978019, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12074	H6SG15	NP_004364	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3045998	9829	3092	115167	109339	-	UNQ2786	DNAJC6	HIP1	DJC6|PARK19	HIP-I|ILWEQ	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.9999705	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.9999705, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O00291	B4DK46|V5LU97	NP_001369374|NP_005329|NP_001230127|NP_001369373	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3058342	9829	8216	115167	113852	-	-	DNAJC6	LZTR1	DJC6|PARK19	BTBD29|LZTR-1|SWNTS2	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999997462	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999997462, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q8N653	-	NP_006758	-	-	-	-	-	-	Homo sapiens	Homo sapiens
