#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
589390	23411	51142	116983	119326	RP11-57G10.3	AAG10	SIRT1	CHCHD2	SIR2L1	C7orf17	Affinity Capture-MS	physical	Law IK (2009)	PUBMED:19343720	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96EB6	B0QZ35|E9PC49|A8K128|A0A024QZQ1	NP_036370|NP_001300978|NP_001135970	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1046131	22806	51142	116484	119326	RP11-94L15.2	AAG10	IKZF3	CHCHD2	AIO|AIOLOS|ZNFN1A3	C7orf17	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UKT9	-	NP_001244337|NP_899055|NP_899054|NP_899051|NP_001244338|NP_899052|NP_001271443|NP_001244343|NP_899053|NP_001244341|NP_001244340|NP_001271444|NP_001244339|NP_036613|NP_001271445|NP_001244342	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047284	51142	54507	119326	120002	AAG10	PP1396	CHCHD2	ADAMTSL4	C7orf17	ADAMTSL-4|ECTOL2|TSRC1	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q6UY14	B7ZMJ3|Q9UFG7	NP_061905|NP_001275536|NP_001275537|NP_079284	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047285	51142	57159	119326	121415	AAG10	-	CHCHD2	TRIM54	C7orf17	MURF|MURF-3|RNF30|muRF3	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9BYV2	-	NP_115935|NP_912730	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047286	51142	89884	119326	124635	AAG10	-	CHCHD2	LHX4	C7orf17	CPHD4	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q969G2	-	NP_203129	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047287	51142	125115	119326	125917	AAG10	-	CHCHD2	KRT40	C7orf17	CK-40|K40|KA36	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q6A162	-	NP_872303	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047288	51142	388324	119326	132642	AAG10	HSD45	CHCHD2	INCA1	C7orf17	-	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q0VD86	-	NP_001161457|NP_998891|NP_001161459|NP_001161458	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1194044	64377	51142	122148	119326	-	AAG10	CHST8	CHCHD2	GALNAC4ST1|GalNAc4ST	C7orf17	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.915123456	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.915123456, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9H2A9	-	NP_071912|NP_001121367|NP_001121368	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259951	10476	51142	115739	119326	My032	AAG10	ATP5H	CHCHD2	ATPQ	C7orf17	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.093441914	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O75947	A0PJH2	NP_001003785|NP_006347	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259952	84303	51142	124029	119326	-	AAG10	CHCHD6	CHCHD2	CHCM1|PPP1R23	C7orf17	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.102754345	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9BRQ6	-	NP_001307539|NP_115719	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259953	8570	51142	114139	119326	-	AAG10	KHSRP	CHCHD2	FBP2|FUBP2|KSRP	C7orf17	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.091202582	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q92945	-	NP_003676|NP_001353229|NP_001353228	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259954	4702	51142	110782	119326	-	AAG10	NDUFA8	CHCHD2	CI-19KD|CI-PGIV|PGIV	C7orf17	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.119584155	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P51970	-	NP_055037|NP_001305124	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259955	10452	51142	115716	119326	-	AAG10	TOMM40	CHCHD2	C19orf1|D19S1177E|PER-EC1|PEREC1|TOM40	C7orf17	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.076787493	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O96008	A0A024R0P9	NP_006105|NP_001122389|NP_001122388	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1267094	51142	27068	119326	117979	AAG10	HSPC124	CHCHD2	PPA2	C7orf17	SID6-306	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.072454402	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9H2U2	-	NP_789842|NP_789843|NP_008834|NP_789845	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1438366	11277	51142	116433	119326	-	AAG10	TREX1	CHCHD2	AGS1|CRV|DRN3|HERNS	C7orf17	Two-hybrid	physical	Yu H (2011)	PUBMED:21516116	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9NSU2	Q5TZT0	NP_338599|NP_009179|NP_057465	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1467637	12261	51142	198414	119326	DN-393H17.2	AAG10	C1qbp	CHCHD2	AA407365|AA986492|D11Wsu182e|HABP1|P32|gC1qBP	C7orf17	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	-	Q8R5L1	NP_031599	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Mus musculus	Homo sapiens
1524274	51142	400916	119326	134810	AAG10	-	CHCHD2	CHCHD10	C7orf17	C22orf16|FTDALS2|N27C7-4	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q8WYQ3	B5MBW9	NP_001288268|NP_998885	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524324	51142	10845	119326	116056	AAG10	-	CHCHD2	CLPX	C7orf17	-	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O76031	A0A024R5X7	NP_006651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524339	51142	4898	119326	110954	AAG10	RP4-657D16.2	CHCHD2	NRD1	C7orf17	hNRD1|hNRD2	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O43847	G3V1R5|Q6UUU9|B1AKJ5	NP_001095132|NP_001229290|NP_002516	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524341	51142	51142	119326	119326	AAG10	AAG10	CHCHD2	CHCHD2	C7orf17	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524352	51142	246243	119326	128882	AAG10	-	CHCHD2	RNASEH1	C7orf17	H1RNA|RNH1	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O60930	B3KUD4|E5KN15	NP_001273763|NP_001273766|NP_002927|NP_001365200|NP_001365201|NP_001365202	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524362	51142	3416	119326	109642	AAG10	RP11-366I13.1	CHCHD2	IDE	C7orf17	INSULYSIN	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P14735	-	NP_001159418|NP_004960|NP_001309725|NP_001309724|NP_001309726|NP_001309723|NP_001309722	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524371	51142	54931	119326	120271	AAG10	-	CHCHD2	TRMT10C	C7orf17	HNYA|MRPP1|RG9MTD1	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q7L0Y3	-	NP_060289	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524418	400916	51142	134810	119326	-	AAG10	CHCHD10	CHCHD2	C22orf16|FTDALS2|N27C7-4	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8WYQ3	B5MBW9	NP_001288268|NP_998885	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524452	51142	2926	119326	109182	AAG10	-	CHCHD2	GRSF1	C7orf17	-	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	99.0	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q12849	A0A024RD99	NP_002083|NP_001091947	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524522	51142	201626	119326	128397	AAG10	-	CHCHD2	PDE12	C7orf17	2-PDE	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q6L8Q7	-	NP_808881|NP_001309105|NP_001309106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524534	84419	51142	124071	119326	-	AAG10	C15orf48	CHCHD2	FOAP-11|NMES1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9C002	A0A024R5U4	NP_922946|NP_115789	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524536	51142	54974	119326	120311	AAG10	-	CHCHD2	THG1L	C7orf17	ICF45|IHG-1	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9NWX6	B4E366	NP_001304755|NP_060342|NP_001304753|NP_001304754	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524581	57017	51142	121326	119326	HSPC326	AAG10	COQ9	CHCHD2	C16orf49|COQ10D5	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	O75208	A0A024R6U3	NP_064708	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524592	114971	51142	125402	119326	PNAS-129	AAG10	PTPMT1	CHCHD2	DUSP23|MOSP|PLIP	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8WUK0	-	NP_001137456|NP_783859	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524595	284106	51142	129759	119326	-	AAG10	CISD3	CHCHD2	Miner2	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	P0C7P0	-	NP_001129970	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524596	51142	26073	119326	117531	AAG10	HSPC017	CHCHD2	POLDIP2	C7orf17	PDIP38|POLD4|p38	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9Y2S7	B4DEM9	NP_056399|NP_001277074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524615	51142	23203	119326	116811	AAG10	RP11-413M3.1	CHCHD2	PMPCA	C7orf17	Alpha-MPP|INPP5E|P-55	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q10713	-	NP_001269875|NP_055975|NP_001269873	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524625	51142	9512	119326	114889	AAG10	-	CHCHD2	PMPCB	C7orf17	Beta-MPP|MPP11|MPPB|MPPP52|P-52	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O75439	B3KM34|Q96CP5	NP_004270	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524630	284184	51142	129780	119326	-	AAG10	C17orf89	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	A1L188	-	NP_001079990	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524666	57144	51142	121402	119326	RP5-1119D9.3	AAG10	PAK7	CHCHD2	PAK5	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9P286	B0AZM9	NP_065074|NP_817127	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524677	56997	51142	121312	119326	PP265	AAG10	ADCK3	CHCHD2	ARCA2|CABC1|COQ10D4|COQ8|SCAR9	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8NI60	A0A024R3S3	NP_064632	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524678	51142	10469	119326	115732	AAG10	-	CHCHD2	TIMM44	C7orf17	TIM44	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O43615	-	NP_006342	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524709	84908	51142	124345	119326	-	AAG10	FAM136A	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.2	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q96C01	B0AZT6	NP_116211|NP_001316686|NP_001316687|NP_001316684|NP_001316682|NP_001316681	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524760	64847	51142	122320	119326	-	AAG10	SPATA20	CHCHD2	SSP411|Tisp78	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8TB22	-	NP_001245301|NP_001245302|NP_073738	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524781	57128	51142	121391	119326	RP11-428J1.4	AAG10	LYRM4	CHCHD2	C6orf149|CGI-203|COXPD19|ISD11	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.0	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9HD34	C9JY28|C9JRX8	NP_001305711|NP_001305712|NP_065141|NP_001158312|NP_001158313	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524785	10229	51142	115523	119326	-	AAG10	COQ7	CHCHD2	CAT5|CLK-1|CLK1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	98.0	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q99807	-	NP_057222|NP_001177912	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524790	51142	10667	119326	115909	AAG10	RP1-236A3.1	CHCHD2	FARS2	C7orf17	COXPD14|FARS1|HSPC320|PheRS|dJ520B18.2	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O95363	-	NP_006558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
